Samples4Survey FeSe_0706
506.08 553881.42
505.08 549817.86
504.08 553414.13
503.08 549830.75
502.08 552501.29
501.08 554733.54
500.08 560443.89
499.08 561372.77
498.08 557319.11
497.08 559556.69
496.08 562875.04
495.08 565992.07
494.08 566375.41
493.08 570753.19
492.08 563033.87
491.08 569671.57
490.08 574516.73
489.08 583155.27
488.08 577229.43
487.08 576571.4
486.08 570491.95
485.08 568555.64
484.08 570350.24
483.08 566811.05
482.08 569231.45
481.08 568533.09
480.08 572533.69
479.08 583146.26
478.08 592643.48
477.08 586760.78
476.08 588712.26
475.08 585779.56
474.08 584983.26
473.08 603307.02
472.08 620844.43
471.08 606627.71
470.08 585082.43
469.08 559998.1
468.08 541587.17
467.08 539739.88
466.08 569399.94
465.08 635284.3
464.08 717092.51
463.08 682131.31
462.08 596904.98
461.08 557930.13
460.08 593485.12
459.08 775092.5
458.08 975118.81
457.08 734600.65
456.08 528122.35
455.08 493779.15
454.08 481886.78
453.08 483615.7
452.08 481101.66
451.08 472754.92
450.08 471758.24
449.08 470413.07
448.08 465521.29
447.08 469776.3
446.08 469456.75
445.08 470359.12
444.08 477165.65
443.08 477846.98
442.08 478829.55
441.08 475852.97
440.08 479809.61
439.08 485570.5
438.08 480279.46
437.08 484999.66
436.08 480452.32
435.08 486080.87
434.08 485102.46
433.08 489256.13
432.08 487630.86
431.08 491753.7
430.08 492472.94
429.08 487298.12
428.08 498611
427.08 497416.48
426.08 495420
425.08 495009.31
424.08 491990.36
423.08 498331.56
422.08 499553.25
421.08 496620.16
420.08 502154.13
419.08 507773.51
418.08 503630.87
417.08 510533.55
416.08 510956.83
415.08 505595.06
414.08 506957.85
413.08 506944.89
412.08 511776.46
411.08 514637.7
410.08 519231.02
409.08 514576.37
408.08 514709.57
407.08 519754.15
406.08 524935.63
405.08 529957.09
404.08 529448.08
403.08 531838.94
402.08 534256.72
401.08 539048.36
400.08 536359.75
399.08 546869.88
398.08 540876.55
397.08 532261.38
396.08 534494.12
395.08 531794.5
394.08 529016.86
393.08 535613.52
392.08 533008.94
391.08 539325.75
390.08 536198.29
389.08 539467.52
388.08 529486.18
387.08 529705.03
386.08 519978.25
385.08 511056.32
384.08 503466.03
383.08 495854.47
382.08 490972.1
381.08 494455.53
380.08 496036.57
379.08 492971.99
378.08 492531.77
377.08 493883.62
376.08 498898.22
375.08 495930.08
374.08 503976.68
373.08 498482.49
372.08 500459.18
371.08 498786.27
370.08 497141.84
369.08 504979.39
368.08 504551.1
367.08 505256.56
366.08 512379.96
365.08 512638.47
364.08 514757.98
363.08 524609.51
362.08 522066.49
361.08 528819.91
360.08 547670.06
359.08 564842.59
358.08 580201.3
357.08 599397.35
356.08 584485.71
355.08 560287.22
354.08 546765
353.08 535772.77
352.08 528954.54
351.08 530626.5
350.08 518083.85
349.08 511372.43
348.08 514321.12
347.08 515601.37
346.08 506481.13
345.08 490623.23
344.08 489274.08
343.08 492134.92
342.08 489309.32
341.08 495592.23
340.08 497282.75
339.08 494534.31
338.08 501668.16
337.08 496566.41
336.08 498309.43
335.08 501944.34
334.08 497781.48
333.08 507343.02
332.08 505267.87
331.08 505802.19
330.08 511900.6
329.08 514429.8
328.08 515278.5
327.08 516746.96
326.08 521026.25
325.08 515407.89
324.08 523819.9
323.08 528453.62
322.08 527854.38
321.08 531838.7
320.08 540720.38
319.08 544885.87
318.08 542732.91
317.08 540417.54
316.08 545493.04
315.08 557457.66
314.08 546653.16
313.08 545342.79
312.08 550692.6
311.08 548082.05
310.08 550240.55
309.08 551012.24
308.08 553138.82
307.08 557064.57
306.08 571817.94
305.08 578179.3
304.08 580044.14
303.08 561850.91
302.08 559242.68
301.08 571825.62
300.08 579060.45
299.08 586440.86
298.08 598137.01
297.08 602196.55
296.08 598905.39
295.08 585133.06
294.08 562880.99
293.08 540973.42
292.08 525821.45
291.08 521932.09
290.08 536156.78
289.08 541242.06
288.08 551826.52
287.08 566735.76
286.08 608480.34
285.08 660332.12
284.08 663806.72
283.08 582312.18
282.08 542030.41
281.08 552511.47
280.08 609297.62
279.08 682127.36
278.08 651177.71
277.08 538919.47
276.08 471491.59
275.08 454193.5
274.08 443190.78
273.08 439105.3
272.08 450188.55
271.08 485377.27
270.08 596748.24
269.08 768077.24
268.08 812913.61
267.08 643198.28
266.08 496032.49
265.08 431361.41
264.08 404651.49
263.08 397323.51
262.08 391331.46
261.08 390142.68
260.08 398297.24
259.08 398887.75
258.08 408830.42
257.08 419004.74
256.08 433511.46
255.08 425700.66
254.08 419835.2
253.08 409039.07
252.08 399813.53
251.08 384663.66
250.08 380329.14
249.08 388922.67
248.08 386391.97
247.08 388933.42
246.08 390316.37
245.08 387452.98
244.08 386337.88
243.08 383789.71
242.08 380581.02
241.08 379882.28
240.08 378261.7
239.08 371584.78
238.08 371593.87
237.08 377889.69
236.08 377678.03
235.08 385512.85
234.08 386139.39
233.08 389005.39
232.08 397284.22
231.08 415082.16
230.08 425486.88
229.08 425972.08
228.08 411502.23
227.08 396698.22
226.08 391508.03
225.08 391035.62
