Samples4Survey SrIr_0224
30.08 19204.1
29.08 20950.8
28.08 20826.9
27.08 18368.9
26.08 19049.7
25.08 21514.4
24.08 23161.2
23.08 27361.5
22.08 34966.8
21.08 38675.5
20.08 49974.4
19.08 64807.0
18.08 61633.0
17.08 40956.5
16.08 19424.5
15.08 13107.0
14.08 11798.5
13.08 10628.0
12.08 11116.6
11.08 13376.4
10.08 16619.5
9.08 25686.7
8.08 29934.0
7.08 36482.9
6.08 32875.9
5.08 27552.7
4.08 25272.0
3.08 27977.3
2.08 36148.3
1.08 36492.4
0.08 16920.1
-0.92 4133.4
-1.92 1091.0
-2.92 947.0
-3.92 732.4
-4.92 260.0
