Samples4Survey LaCo_0211
14.08 12922.6
13.08 8866.19
12.08 8438.68
11.08 7529.3
10.08 7142.86
9.08 7814.21
8.08 10019.76
7.08 14972.05
6.08 17692.67
5.08 18409.13
4.08 16636.5
3.08 17315.49
2.08 15286.59
1.08 11671.28
0.08 4494.4
-0.92 1297.4
-1.92 368.55
-2.92 360.13
-3.92 290.21
-4.92 309.07
