Samples4Survey LaCo_0603_1
630.08 152806.28
629.08 155852.68
628.08 150752.59
627.08 154459.24
626.08 152232.48
625.08 147967.15
624.08 151728.02
623.08 150017.34
622.08 152731.59
621.08 151943.47
620.08 147772.84
619.08 155922.01
618.08 156284.24
617.08 158282.88
616.08 157327.4
615.08 153523.11
614.08 154545.32
613.08 151417.12
612.08 155391.13
611.08 158267.94
610.08 154981.41
609.08 155746.61
608.08 159218.88
607.08 157121.75
606.08 159951.35
605.08 162007.73
604.08 159378.39
603.08 158446.71
602.08 157066.79
601.08 165437.39
600.08 159046.07
599.08 158753.74
598.08 164388.05
597.08 158044.37
596.08 160439.72
595.08 152888.38
594.08 161388.14
593.08 161092.4
592.08 160774.56
591.08 166430.37
590.08 158649.38
589.08 165688.35
588.08 162189.15
587.08 163851.52
586.08 165476.57
585.08 160485.31
584.08 161269.28
583.08 164253.88
582.08 163932.16
581.08 164444.22
580.08 166006.95
579.08 161971.33
578.08 166403.82
577.08 166216.38
576.08 169758.74
575.08 164625.31
574.08 164425.42
573.08 162893.46
572.08 166404.47
571.08 165839.09
570.08 163212.54
569.08 167040.06
568.08 168054.1
567.08 162120.49
566.08 167164.07
565.08 168797.11
564.08 168162.81
563.08 172032.85
562.08 172052.21
561.08 172444.84
560.08 170221.55
559.08 175387.57
558.08 174864.56
557.08 176492.23
556.08 177961.19
555.08 172908.35
554.08 167767.8
553.08 166551.21
552.08 163529.08
551.08 165603.53
550.08 162343.68
549.08 160112.25
548.08 164046.9
547.08 164834.75
546.08 163319.09
545.08 156445.6
544.08 155217.3
543.08 154706.59
542.08 154678.71
541.08 155692.73
540.08 140564.51
539.08 141760.82
538.08 137848.68
537.08 129968.26
536.08 129735.13
535.08 133607.4
534.08 140099.45
533.08 162932.36
532.08 221980.5
531.08 312142.56
530.08 372118.44
529.08 437649.95
528.08 477042.52
527.08 243020.8
526.08 125397.28
525.08 104644.06
524.08 101115.86
523.08 103156.95
522.08 99916.29
521.08 97218.37
520.08 92425.98
519.08 95817.03
518.08 97138.39
517.08 96159.68
516.08 93116.38
515.08 95834.39
514.08 99267.72
513.08 101826.64
512.08 95356.21
511.08 96405.16
510.08 95340.68
509.08 95513.24
508.08 97459.41
507.08 99392.58
506.08 94769.48
505.08 95864.55
504.08 96626.64
503.08 97755.14
502.08 98446.23
501.08 97305.33
500.08 101125.68
499.08 96945.26
498.08 99099.87
497.08 103494.73
496.08 100760.15
495.08 102103.38
494.08 99222.31
493.08 98142.36
492.08 99672.49
491.08 99901.62
490.08 95741.22
