Samples4Survey FeSe
545.08 657782.52
544.08 663243.62
543.08 663489.57
542.08 663215.93
541.08 646752.07
540.08 629824.03
539.08 614719.81
538.08 617126.83
537.08 615961.22
536.08 627670.07
535.08 627565.76
534.08 640214.98
533.08 696916.09
532.08 837324.05
531.08 1068899.98
530.08 1383516.33
529.08 1525200.46
528.08 1000224.17
527.08 627624.14
526.08 567657.92
525.08 558359.02
524.08 548474.71
523.08 546722.61
522.08 541931.86
521.08 541926.6
520.08 544002.93
519.08 539963.52
518.08 539879.08
517.08 540615.05
516.08 541863.13
515.08 547092.28
514.08 545456.2
513.08 549682.29
512.08 544194.22
511.08 550719.02
510.08 549699.26
509.08 551630.8
508.08 552834.68
507.08 553469.43
506.08 550008.35
505.08 558074.46
504.08 559015.57
503.08 554700.58
502.08 559328.66
501.08 559615.75
500.08 555249.4
499.08 556225.27
498.08 554754.36
497.08 560916.92
496.08 561265.06
495.08 565171.96
494.08 566756.56
493.08 573178.68
492.08 571362.89
491.08 573183.8
490.08 571953.18
489.08 577663.85
488.08 577241.93
487.08 577477.18
486.08 573217.42
485.08 570870.44
484.08 578689.47
483.08 571507.8
482.08 567292.38
481.08 573644.74
480.08 578158.07
479.08 591122.26
478.08 595738.96
477.08 597058.39
476.08 585842.77
475.08 583222.66
474.08 588816.8
473.08 603863.12
472.08 618457.97
471.08 609468.78
470.08 588991.35
469.08 568601.51
468.08 551096.93
467.08 547220.53
466.08 575835.54
465.08 630013.63
464.08 707042.3
463.08 689355.26
462.08 607649.42
461.08 564036.54
460.08 585777.92
459.08 745275.38
458.08 957634.85
457.08 772123.41
456.08 542753.51
455.08 504437.55
454.08 495774.66
453.08 492313.15
452.08 483462.03
451.08 484271.75
450.08 482400.1
449.08 478374.25
448.08 476898.78
447.08 483486.05
446.08 486643.44
445.08 479138.61
444.08 480853.75
443.08 489347.82
442.08 491196.18
441.08 481196.01
440.08 489312.46
439.08 492750.08
438.08 494846.81
437.08 499562.2
436.08 494551.34
435.08 503588.76
434.08 500688.76
433.08 492481.01
432.08 497984.62
431.08 500653.76
430.08 495104.81
429.08 500258.69
428.08 503309.09
427.08 505153.37
426.08 499822.47
425.08 497894.16
424.08 506834.86
423.08 507657.86
422.08 504864.84
421.08 507958.21
420.08 508043.52
419.08 507739.04
418.08 509815.13
417.08 514511.03
416.08 515274.57
415.08 514314.17
414.08 514375.92
413.08 512710.47
412.08 516950.16
411.08 516261.49
410.08 520802.32
409.08 519441.1
408.08 521050.96
407.08 525747.66
406.08 527389.37
405.08 534535.68
404.08 531342.01
403.08 533609.91
402.08 535176.05
401.08 534645.36
400.08 541469.03
399.08 543898.32
398.08 535264.14
397.08 534973.44
396.08 523371.99
395.08 532683.65
394.08 531038.57
393.08 530122.8
392.08 536118.83
391.08 537470.67
390.08 542017.83
389.08 538879.73
388.08 533374.96
387.08 523735.42
386.08 516209.6
385.08 510620.99
384.08 502358.52
383.08 498846.41
382.08 501318.15
381.08 499168.5
380.08 501493.96
379.08 505212.08
378.08 503379.66
377.08 504955.69
376.08 504973.43
375.08 500473.13
374.08 500789.35
373.08 506670.91
372.08 510232.55
371.08 515250.84
370.08 505157.43
369.08 508362.71
368.08 513942.6
367.08 507746.64
366.08 516740.86
365.08 523188.01
364.08 517271.49
363.08 518734.97
362.08 527951.03
361.08 535814.33
360.08 544967.91
359.08 567619.21
358.08 583570.25
357.08 595005.07
356.08 588758.89
355.08 571285.43
354.08 551037.83
353.08 537595.31
352.08 531252.65
351.08 525655.13
350.08 518990.21
349.08 511633.67
348.08 516645.95
347.08 515530.29
346.08 509158.96
345.08 501007.01
344.08 499170.61
343.08 502127.97
342.08 500429.99
341.08 501392.69
340.08 503851.86
339.08 505037.75
338.08 504077.7
337.08 505684.62
336.08 506792.12
335.08 503748.32
334.08 508742.27
333.08 508495.07
332.08 517602.81
331.08 514511.56
330.08 518308.3
329.08 518526.86
328.08 515533.78
327.08 523749.81
326.08 519904.01
325.08 522953.66
324.08 523267.74
323.08 524278.98
322.08 536364.25
321.08 538652.16
320.08 539960.29
319.08 536409.44
318.08 537704.45
317.08 547331.18
316.08 542550.36
315.08 544070.28
314.08 548419.99
313.08 547677.45
312.08 549571.62
311.08 545613.19
310.08 547939.9
309.08 543798.65
308.08 550245.01
307.08 552196.4
306.08 548931.26
305.08 547182.75
304.08 550711.86
303.08 551367.34
302.08 559142.4
301.08 563138.17
300.08 573572.89
299.08 579760.99
298.08 590379.93
297.08 597255.68
296.08 595985.32
295.08 576497.34
294.08 550509.72
293.08 534034.35
292.08 528766.1
291.08 524795.54
290.08 527162.74
289.08 542342.8
288.08 548137.12
287.08 561500.08
286.08 599988.88
285.08 647949.38
284.08 654018.97
283.08 580780.79
282.08 541340.74
281.08 543733.74
280.08 599170.13
279.08 671625.77
278.08 656859.05
277.08 542570.06
276.08 486958.41
275.08 460795.41
274.08 445540.89
273.08 452570.14
272.08 451974.16
271.08 486663.55
270.08 587786.66
269.08 742461.45
268.08 804740.82
267.08 662193.75
266.08 511398.9
265.08 447785.56
264.08 419611.89
263.08 404166.74
262.08 408177.05
261.08 400979.5
260.08 404293.37
259.08 409093.46
258.08 415987.68
257.08 426917.32
256.08 430239.48
255.08 437549.59
254.08 433112.84
253.08 415301.79
252.08 409515.9
251.08 395450
250.08 394608.4
249.08 395913.03
248.08 396681.01
247.08 400362.4
246.08 396679.71
245.08 396635.89
244.08 393872.42
243.08 390886.54
242.08 390382.36
241.08 385628.07
240.08 382235.22
239.08 389005.04
238.08 383849.83
237.08 385900.89
236.08 392783.08
235.08 389749.49
234.08 394018.8
233.08 395196.34
232.08 405811.96
231.08 416507.8
230.08 431343.31
229.08 425405.06
228.08 417656.7
227.08 401492.53
226.08 396446.1
225.08 392284.27
224.08 391554.26
223.08 397135.46
222.08 404334.27
221.08 398215.55
220.08 402247.63
219.08 403849.22
218.08 398789.55
217.08 403938.12
216.08 402873.49
215.08 404742.65
214.08 403047.07
213.08 398453.47
212.08 404104.33
211.08 401072.57
210.08 399517.46
209.08 408663.22
208.08 407835.01
207.08 414737.32
206.08 415517.11
205.08 419087.7
204.08 420265.9
203.08 429609.21
202.08 428838.63
201.08 436455.12
200.08 447202.43
199.08 444332.72
198.08 444156.87
197.08 446080.7
196.08 439470.6
195.08 438576.85
194.08 430905.67
193.08 423795.2
192.08 419600.79
191.08 414387.52
190.08 411909.81
189.08 411562.6
188.08 416131.49
187.08 423281.66
186.08 431991.59
185.08 444874.45
184.08 451484.47
183.08 475180.06
182.08 503867.91
181.08 556442.25
180.08 614495.07
179.08 649294.66
178.08 623055.8
177.08 536756.6
176.08 473758.55
175.08 444443.85
174.08 417029.79
173.08 391050.93
172.08 344350.26
171.08 323497.61
170.08 309776.53
169.08 311307.93
168.08 324170.78
167.08 340007.48
166.08 346032.43
165.08 341221.48
164.08 333473.9
163.08 334593.72
162.08 358803.94
161.08 378826.56
160.08 361073.8
159.08 318155.24
158.08 283137.15
157.08 264345.73
156.08 249036.05
155.08 244791.19
154.08 243104.8
153.08 241142.05
152.08 232736.9
151.08 233158.89
150.08 227680.57
149.08 230756.38
148.08 229626.68
147.08 234048.74
146.08 231440.57
145.08 231353.66
144.08 228123.4
143.08 223196.52
142.08 217832.19
141.08 231175.8
140.08 258184.64
139.08 299237.1
138.08 320841.57
137.08 306684.19
136.08 309958.2
135.08 473429.24
134.08 682169.38
133.08 745537.44
132.08 653266.87
131.08 271574.35
130.08 138226.46
129.08 119045.18
128.08 117211.41
127.08 113539.27
126.08 112223.67
125.08 106782.74
124.08 105045.13
123.08 107557.18
122.08 106297.44
121.08 109218.01
120.08 106524.91
119.08 112377.63
118.08 111937.2
117.08 114191.67
116.08 118883.31
115.08 119617.94
114.08 119228.54
113.08 116558.54
112.08 115080.52
111.08 113187.44
110.08 110853.96
109.08 111855.43
108.08 109914.87
107.08 108046.89
106.08 108884.23
105.08 108463.69
104.08 110526.25
103.08 112655.98
102.08 118668.81
101.08 122316.81
100.08 120517.79
99.08 118490.15
98.08 114756.35
97.08 114522.24
96.08 117282.22
95.08 117349.58
94.08 125276.78
93.08 123452.29
92.08 119320.45
91.08 115333.01
90.08 115115.43
89.08 110870.43
88.08 109339.39
87.08 110086.49
86.08 107066.31
85.08 111071.98
84.08 111299.64
83.08 111784.94
82.08 110131.02
81.08 112869.76
80.08 114754.67
79.08 115266.71
78.08 117641.96
77.08 118456.26
76.08 120938.85
75.08 123368.33
74.08 122425.53
73.08 120607.97
72.08 117057.92
71.08 116105.37
70.08 111873.49
69.08 108860
68.08 108039.45
67.08 107513.81
66.08 108696.26
65.08 107481.01
64.08 107282.97
63.08 115884.93
62.08 126233.88
61.08 129854.92
60.08 119501.86
59.08 115070.48
58.08 119254.2
57.08 135244.61
56.08 184286.19
55.08 227448.86
54.08 191807.08
53.08 127482.43
52.08 88619.32
51.08 78216.84
50.08 73879.66
49.08 71096.63
48.08 66854.44
